"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","248.0","1/1/2015","00:12:00","5th & San Marcos","Plaza Saltillo","4.0"
"Walk Up","382.0","1/1/2015","00:12:00","5th & San Marcos","Plaza Saltillo","4.0"
"Walk Up","861.0","1/1/2015","00:12:00","Convention Center / 4th St. @ MetroRail","East 6th at Robert Martinez","11.0"
"Walk Up","980.0","1/1/2015","00:12:00","Convention Center / 4th St. @ MetroRail","East 6th at Robert Martinez","11.0"
"Local365","947.0","1/1/2015","01:12:00","Capital Metro HQ - East 5th at Broadway","Barton Springs @ Kinney Ave","25.0"
"Walk Up","399.0","1/1/2015","01:12:00","Republic Square @ Guadalupe & 4th St.","Red River @ LBJ Library","20.0"
"Walk Up","933.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","72.0"
"Walk Up","315.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","70.0"
"Walk Up","936.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","71.0"
"Walk Up","41.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","70.0"
"Walk Up","558.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","0.0"
"Walk Up","925.0","1/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","67.0"
"Walk Up","140.0","1/1/2015","01:12:00","4th & Congress","Plaza Saltillo","13.0"
"Walk Up","370.0","1/1/2015","01:12:00","4th & Congress","4th & Congress","0.0"
"Walk Up","370.0","1/1/2015","01:12:00","4th & Congress","Plaza Saltillo","11.0"
"Local365","3.0","1/1/2015","01:12:00","Barton Springs & Riverside","4th & Congress","6.0"
"Founding Member","150.0","1/1/2015","01:12:00","City Hall / Lavaca & 2nd","Palmer Auditorium","6.0"
"Local365","100.0","1/1/2015","02:12:00","Plaza Saltillo","Plaza Saltillo","2.0"
"Walk Up","400.0","1/1/2015","02:12:00","4th & Congress","4th & Congress","1.0"
"Walk Up","668.0","1/1/2015","02:12:00","4th & Congress","4th & Congress","2.0"
"Local365","3.0","1/1/2015","02:12:00","4th & Congress","Barton Springs & Riverside","5.0"
"Walk Up","315.0","1/1/2015","03:12:00","Capitol Station / Congress & 11th","East 11th St. & San Marcos","516.0"
"Walk Up","528.0","1/1/2015","03:12:00","Guadalupe & 21st","Guadalupe & 21st","482.0"
"Walk Up","407.0","1/1/2015","04:12:00","8th & Congress","Capitol Station / Congress & 11th","175.0"
"Walk Up","911.0","1/1/2015","11:12:00","San Jacinto & 8th Street","Rainey St @ Cummings","9.0"
"Walk Up","550.0","1/1/2015","11:12:00","Rainey St @ Cummings","Davis at Rainey Street","10.0"
"Walk Up","843.0","1/1/2015","11:12:00","Rainey St @ Cummings","Rainey St @ Cummings","1.0"
"Walk Up","354.0","1/1/2015","11:12:00","Rainey St @ Cummings","Davis at Rainey Street","8.0"
"Walk Up","354.0","1/1/2015","11:12:00","Davis at Rainey Street","2nd & Congress","8.0"
"Walk Up","550.0","1/1/2015","11:12:00","Davis at Rainey Street","2nd & Congress","8.0"
"Walk Up","354.0","1/1/2015","12:12:00","2nd & Congress","Capitol Station / Congress & 11th","10.0"
"Walk Up","550.0","1/1/2015","12:12:00","2nd & Congress","Capitol Station / Congress & 11th","10.0"
"Walk Up","175.0","1/1/2015","14:12:00","East 11th St. at Victory Grill","8th & Congress","11.0"
"Walk Up","435.0","1/1/2015","14:12:00","East 11th St. at Victory Grill","8th & Congress","10.0"
"Local365","247.0","1/1/2015","16:12:00","West & 6th St.","West & 6th St.","0.0"
"Walk Up","429.0","1/1/2015","16:12:00","Barton Springs & Riverside","Barton Springs & Riverside","30.0"
"Semester Membership","88.0","1/2/2015","08:12:00","5th & Bowie","2nd & Congress","6.0"
"Walk Up","621.0","1/2/2015","08:12:00","State Capitol @ 14th & Colorado","West & 6th St.","8.0"
"Semester Membership","981.0","1/2/2015","08:12:00","5th & Bowie","8th & Congress","5.0"
"Founding Member","980.0","1/2/2015","09:12:00","East 6th at Robert Martinez","City Hall / Lavaca & 2nd","15.0"
"Explorer","800.0","1/2/2015","09:12:00","Trinity & 6th Street","Guadalupe & 21st","55.0"
"Local365","276.0","1/2/2015","09:12:00","Republic Square @ Guadalupe & 4th St.","5th & Bowie","2.0"
"Local365","224.0","1/2/2015","09:12:00","Pfluger Bridge @ W 2nd Street","4th & Congress","8.0"
"Walk Up","100.0","1/2/2015","10:12:00","Plaza Saltillo","Trinity & 6th Street","24.0"
"Walk Up","327.0","1/2/2015","10:12:00","Plaza Saltillo","Trinity & 6th Street","22.0"
