"Membership Type","Bike","  Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Annual Membership (Austin B-cycle)","503.0","5/1/2014","00:12:00","4th & Congress","South Congress & Academy","5.0"
"Semester Membership (Austin B-cycle)","896.0","5/1/2014","00:12:00","West & 6th St.","17th & Guadalupe","9.0"
"24-Hour Kiosk (Austin B-cycle)","282.0","5/1/2014","01:12:00","Plaza Saltillo","2nd & Congress","10.0"
"24-Hour Kiosk (Austin B-cycle)","275.0","5/1/2014","01:12:00","Plaza Saltillo","2nd & Congress","10.0"
"24-Hour Kiosk (Austin B-cycle)","22.0","5/1/2014","04:12:00","Guadalupe & 21st","Zilker Park at Barton Springs & William Barton Drive","40.0"
"24-Hour Kiosk (Austin B-cycle)","468.0","5/1/2014","04:12:00","Guadalupe & 21st","Zilker Park at Barton Springs & William Barton Drive","39.0"
"Annual Membership (Austin B-cycle)","938.0","5/1/2014","04:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","3.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","05:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","12.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","05:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","17.0"
"24-Hour Kiosk (Austin B-cycle)","182.0","5/1/2014","05:12:00","Trinity & 6th Street","Trinity & 6th Street","1026.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","06:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","7.0"
"Annual Membership (Austin B-cycle)","52.0","5/1/2014","06:12:00","Convention Center / 4th St. @ MetroRail","Long Center @ South 1st & Riverside","7.0"
"Annual Membership (Austin B-cycle)","850.0","5/1/2014","06:12:00","Convention Center / 4th St. @ MetroRail","Republic Square @ Guadalupe & 4th St.","4.0"
"24-Hour Kiosk (Austin B-cycle)","549.0","5/1/2014","07:12:00","Zilker Park at Barton Springs & William Barton Drive","8th & Guadalupe","26.0"
"24-Hour Kiosk (Austin B-cycle)","22.0","5/1/2014","07:12:00","Zilker Park at Barton Springs & William Barton Drive","8th & Guadalupe","26.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","07:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","14.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","07:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","13.0"
"Annual Membership (Austin B-cycle)","910.0","5/1/2014","07:12:00","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","8.0"
"Annual Membership (Austin B-cycle)","327.0","5/1/2014","07:12:00","3rd & West","5th & Bowie","2.0"
"Founding Member (Austin B-cycle)","14.0","5/1/2014","07:12:00","3rd & West","San Jacinto & 8th Street","8.0"
"Annual Membership (Austin B-cycle)","576.0","5/1/2014","07:12:00","Barton Springs & Riverside","2nd & Congress","4.0"
"24-Hour Kiosk (Austin B-cycle)","966.0","5/1/2014","08:12:00","Palmer Auditorium","Palmer Auditorium","156.0"
"Annual Membership (Austin B-cycle)","397.0","5/1/2014","08:12:00","South Congress & Academy","Barton Springs & Riverside","5.0"
"Annual Membership (Austin B-cycle)","993.0","5/1/2014","08:12:00","Republic Square @ Guadalupe & 4th St.","5th & Bowie","5.0"
"Annual Membership (Austin B-cycle)","902.0","5/1/2014","08:12:00","Guadalupe & 21st","8th & Congress","6.0"
"Annual Membership (Austin B-cycle)","302.0","5/1/2014","08:12:00","Plaza Saltillo","5th & Bowie","14.0"
"Annual Membership (Austin B-cycle)","661.0","5/1/2014","08:12:00","Plaza Saltillo","5th & Bowie","14.0"
"24-Hour Kiosk (Austin B-cycle)","414.0","5/1/2014","08:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","12.0"
"Annual Membership (Austin B-cycle)","925.0","5/1/2014","08:12:00","Barton Springs & Riverside","8th & Congress","9.0"
"Annual Membership (Austin B-cycle)","975.0","5/1/2014","08:12:00","Convention Center / 4th St. @ MetroRail","City Hall / Lavaca & 2nd","5.0"
